total_cost,violation,violating_hours,max_gap
59793.31851347683,True,11,1273.5649749999993
59271.726248930296,True,14,844.7492500000008
59081.23689451725,True,13,2312.675989000001
58247.87983399273,True,14,1036.9262450000006
59743.26810118687,True,13,1800.5969400000004
59117.23023365455,True,11,2086.092095
59661.21595997377,True,11,942.2914010000004
59365.80246833797,True,16,762.1053489999995
59674.59290654864,True,16,777.7322350000004
58803.63631695739,True,11,1655.6997279999996
58942.30729901586,True,14,2228.483321999999
58589.12903121611,True,14,1596.9227369999999
59117.232689620505,True,13,1389.7137300000004
58713.608630478426,True,13,1459.2250809999987
59526.27172391639,True,8,1365.1287150000007
58580.80205854382,True,12,2332.684118000001
59270.327033359965,True,10,1368.3943560000007
59474.61503982027,True,9,1437.528679
58998.690075863124,True,14,1740.9891369999996
59055.95770522092,True,13,1793.1593479999992
59427.28751357879,True,12,2349.8088229999994
58997.82206475009,True,14,1000.8181850000001
59695.426429585146,True,10,1566.9476639999993
59857.6053751585,True,13,1967.1712860000007
59616.414689998,True,11,1598.9511079999993
58784.13983531711,True,12,2567.3122569999996
58544.675141355096,True,12,2349.8088229999994
59641.43944168869,True,14,2380.852450999999
58371.20346036756,True,12,2167.706324999999
59025.31349420556,True,13,2347.7390780000005
59972.56415632573,True,8,1217.7771240000002
58517.27229163364,True,12,1657.2287049999977
58627.65292975766,True,12,1535.569861
59773.188000947586,True,8,343.31953200000044
58638.13962476788,True,9,3368.520699999999
58945.37174771812,True,12,1697.5857419999993
59371.5192640865,True,9,2248.946124000001
58403.577018622214,True,12,1535.569861
58545.66800179897,True,13,2136.064152000001
58275.47034839225,True,16,1940.6429609999996
59336.60122624265,True,14,1922.1477759999998
59475.22196439097,True,14,1376.7216989999997
57991.827314065325,True,13,2018.1155259999996
58572.63189406368,True,11,1179.166099000001
58251.34923739979,True,12,1055.7742630000012
59613.13573440639,True,15,1439.6471030000012
58856.64915244127,True,15,1589.0749489999998
59108.359629019455,True,15,1761.8313930000004
60346.94865853169,True,14,959.9913699999979
58394.22008627253,True,10,828.9073700000008
59053.92513360177,True,9,825.825304
59079.40956458419,True,14,1335.2407270000003
58993.539862463665,True,12,714.0295420000002
59709.89669823337,True,13,1275.9394549999997
58907.4749952352,True,11,1738.5885080000007
58867.18516909615,True,13,1536.6418080000003
59513.63820097354,True,8,1423.7484729999996
59175.099217039286,True,11,1824.8395520000013
59219.0246643547,True,13,990.0761000000002
58546.752409041816,True,11,2086.092095
58833.4960045523,True,12,1400.7392650000002
58796.619093007954,True,11,794.3556829999998
59303.56304930856,True,14,2185.984532999999
59338.044720326565,True,13,1286.3322930000004
58753.11919006055,True,10,1841.8575069999988
59433.759209219075,True,10,998.7866819999999
59648.66710728873,True,16,1283.3496069999992
59331.059616269544,True,12,809.4656489999998
59244.69389155223,True,13,364.3845940000001
59216.944066292956,True,11,892.2966260000012
58286.56967694465,True,14,1360.7933869999997
58270.13714612449,True,14,1201.5938239999987
59469.43856465114,True,13,1497.656078
57884.24494048841,True,9,1502.0971929999978
58252.85467611359,True,13,2536.2979749999995
59490.628634548106,True,12,2349.8088229999994
59266.46061329684,True,10,3559.7007200000007
59502.264645350726,True,11,1473.2041879999997
58466.244093155474,True,17,2061.748453
59091.28174141962,True,16,777.7322350000004
58789.04998450339,True,13,767.1562540000014
59406.19230311312,True,8,1557.097249999999
59350.7195616831,True,9,1428.4749359999987
59722.6333694556,True,6,1173.4198529999994
58984.739076929094,True,6,1388.52729
59466.4978417798,True,12,2167.706324999999
59001.63436372251,True,15,2037.1528390000012
58348.798460158476,True,13,1390.4986079999999
59307.88395465099,True,12,2360.174997
59481.279248781015,True,15,1402.3139379999993
58418.225822541164,True,11,1618.4702960000013
58683.17872064593,True,13,989.856956999999
59227.90386561032,True,10,1803.6849569999995
59379.59334397905,True,12,1540.0804800000005
59095.105855467154,True,14,1623.0004520000002
58369.884068549974,True,11,1019.6157599999997
59527.52421675388,True,14,844.7492500000008
60350.82206691003,True,12,2471.2378559999997
58569.148522068324,True,12,1735.899328999998
59027.0206083568,True,18,2478.6449840000005
58702.67864795325,True,6,769.3251280000004
59451.731317980884,True,14,3993.75172
60117.34730546852,True,9,2305.1337650000005
59283.66574716958,True,11,1545.0037460000003
58453.42928801419,True,14,2389.3791730000003
59170.384127598365,True,11,1826.0193400000007
58913.28791509125,True,12,989.4161810000005
59433.8822581528,True,9,2292.2045369999996
59095.34660104355,True,11,2338.7889140000007
59104.25700561082,True,14,872.1455659999992
59561.12138899905,True,12,1298.5521719999997
59100.302872683904,True,10,965.7211790000001
59674.3438433729,True,10,914.2072870000011
59077.442643966344,True,13,2103.4061820000006
59746.71793732683,True,10,1866.277212
59169.3609689484,True,17,1369.0236869999999
58968.261964764555,True,14,1135.1312390000003
60073.50323066673,True,13,1807.7419229999996
58889.58716477201,True,12,1544.4234349999997
59125.70057618511,True,11,1824.8395520000013
58906.81962496413,True,14,1217.4016549999997
59291.09422168216,True,12,2955.8633279999995
59910.131789779596,True,9,1650.944077
59639.19375397596,True,11,1665.9783119999993
59129.37140079269,True,11,420.65831199999957
59420.901616734045,True,10,854.2630360000003
60482.7217250713,True,13,1328.1101330000001
59722.131730284804,True,14,1677.8360220000013
59347.25866583896,True,14,1694.4293550000002
59116.56555242894,True,14,1335.2407270000003
58900.13131349154,True,12,2012.727336
59152.77228913564,True,12,917.6787230000009
58882.68497828458,True,14,1592.6188730000013
58315.217943951,True,12,1219.431297
59509.99329944153,True,13,1784.0012109999989
58718.02223166547,True,11,982.6962210000002
59434.13902207314,True,11,595.983757
60353.8211038511,True,13,468.0940049999999
58428.441790448545,True,12,2574.1443949999993
58381.7938663979,True,12,1219.431297
59562.597920952256,True,12,1186.6929049999999
59755.02824841409,True,9,1065.176238
59271.23377792843,True,14,1337.1316800000004
58367.8950574857,True,16,1534.280992
59509.773787940845,True,6,1173.4198529999994
59509.94601707489,True,15,827.6417469999997
59550.65509398276,True,14,1475.0014740000006
58384.58437735093,True,14,1655.3136169999989
58686.02329731193,True,13,1299.1806849999994
59060.513511718775,True,11,770.1746949999997
59374.24499381666,True,10,1339.9735660000006
59785.17203917113,True,13,1058.940334
58576.787662510025,True,11,792.5175939999999
58774.32777820122,True,16,2554.567532000001
59625.99431314449,True,11,2086.092095
59467.32145741111,True,14,3416.9429199999995
58546.919874681786,True,15,1409.8868249999996
59309.1001215376,True,14,1225.3186219999998
58529.432360861894,True,12,2082.997835
59329.2979477382,True,14,703.2544950000001
58607.08338178742,True,13,1149.8919800000003
59142.742752275524,True,14,1877.0359279999993
59080.18287629023,True,13,1466.0394939999987
58695.159239076485,True,10,1538.4240909999999
58637.422259991064,True,10,1347.319750999999
58989.05188833626,True,13,2347.7390780000005
59377.45955619664,True,8,717.2099739999994
59352.64007031765,True,11,1005.9013500000001
59981.83801929222,True,13,2608.2685569999994
59869.32226527571,True,11,1681.3045939999975
58830.85907102537,True,15,1938.9607079999987
60024.46736222772,True,10,1282.6677880000007
58905.72239762489,True,15,1712.773611999999
58573.242591025075,True,12,1016.9460419999996
59899.616645993505,True,14,1009.0347140000013
58761.45144465994,True,12,1409.537065999999
59459.45061990342,True,11,1596.2736729999997
58631.58610319408,True,14,1897.5771810000006
59053.46259540177,True,8,1945.052024999999
58333.969132958446,True,12,812.4360359999991
58610.48603414885,True,7,2170.683653
58752.17292110096,True,11,832.2112070000003
58951.37693614376,True,11,1826.0193400000007
59491.4026149844,True,10,685.4396639999995
59438.585301355975,True,12,802.165622999999
59669.926644873776,True,15,1748.1864219999989
59838.3133949542,True,13,836.3554600000007
59720.59445297989,True,10,1994.8314070000006
58584.34511329222,True,6,1388.52729
59360.442100658416,True,12,1697.5857419999993
58541.44882720422,True,13,1695.6414209999994
59719.62035426719,True,10,949.4581909999997
58556.14950548668,True,10,472.8681090000009
58767.642447815524,True,14,2169.4058969999987
59398.813374437086,True,10,1043.9219570000005
58976.118604022624,True,13,1390.4986079999999
58092.886577784026,True,12,735.7105269999993
59450.0248384687,True,14,818.5324679999994
58779.59797792643,True,12,1367.1787130000012
58977.6143441499,True,11,1171.2807749999993
59139.80672804635,True,10,1920.4293099999995
59886.008356955266,True,10,1592.1083070000004
59123.190813450674,True,11,2338.7889140000007
59294.86497238432,True,12,1465.3414659999999
58138.43361292609,True,13,1933.7669129999995
58630.66889798858,True,13,2174.990907999999
58763.045039391836,True,13,2187.156041
58389.43414278884,True,14,2011.203805000001
58654.98836091487,True,13,714.5640169999997
59836.7087864888,True,9,1450.6355800000001
58971.50460140196,True,12,1544.4234349999997
59667.404807347266,True,14,1201.5938239999987
59218.96043395257,True,12,2028.8286179999996
58873.48190428408,True,14,1549.7081339999995
60017.339414830756,True,9,577.2300670000004
58357.19522806768,True,13,1945.8502819999994
59040.98696514601,True,14,1600.0410919999995
59761.484339345625,True,10,1299.6870870000002
59130.01365971565,True,9,1469.8307749999994
59230.31703412325,True,10,1316.3153989999992
59660.42652732174,True,9,1163.150305000001
58848.44197052749,True,7,711.8764249999995
58521.49501504288,True,14,1721.605746000001
59519.96860025541,True,10,681.9337199999991
58862.6374330262,True,8,2155.189424
58777.75097301558,True,9,1342.8565369999997
58715.59605003361,True,14,2103.6820590000007
59659.351091400946,True,12,2242.006959999999
58170.127948147994,True,15,1767.1554400000005
58807.44865204531,True,9,964.109708
59576.34602992088,True,11,438.9340570000004
59249.29530549803,True,14,1475.0014740000006
59010.713777760044,True,13,1762.394365
59200.60200379437,True,10,1512.6138769999998
59944.715823764935,True,16,1811.748721
58509.35284974861,True,13,1225.0115370000003
59002.76782061594,True,13,1857.2348919999986
57988.19149323377,True,13,1852.2166779999998
58924.06539185894,True,13,2821.094975
59248.698381069815,True,11,2007.4442600000002
58997.64439067214,True,8,1758.0843720000012
59650.85358658039,True,13,1688.3060450000012
58934.17322441969,True,12,1791.367784
