hour,price
0,0.3062985
1,0.2887099
2,0.2887099
3,0.3002011
4,0.3002011
5,0.3002011
6,0.3143732
7,0.3261812
8,0.3143732
9,0.3261812
10,0.3252508
11,0.3126499
12,0.3062985
13,0.3002011
14,0.3002011
15,0.3143732
16,0.3143732
17,0.3261812
18,0.3252508
19,0.3126499
20,0.3143732
21,0.3252508
22,0.3126499
23,0.3062985
